type,review,star,date,site
푸르밀 검은콩우유,상품 배송 품질 가격 좋아요,5,220414,롯데마트
푸르밀 검은콩우유,1+1 세일 자주 해주세요,5,220414,롯데마트
푸르밀 검은콩우유,배송이 빨라서 좋은데 우유같은 것은 유통기한이 일주일이 안되는 상품이라 조금 부담 스럽네요 ㅎㅎ...,5,220414,GS 프레시몰
푸르밀 검은콩우유,감사합니다 좋아요 굿입니다,5,220414,롯데마트
푸르밀 검은콩우유,유통기한이 5일남았네요,3,220412,롯데마트
푸르밀 검은콩우유,만족합니다 추천합니다,5,220412,롯데마트
푸르밀 검은콩우유,"굿~~~~~~~~~~^^
좋아요..
재구매예정이에요
^__________^ㅎ",5,220409,GS 프레시몰
푸르밀 검은콩우유,건강해지는 느낌 우유 1+1이라 더좋아요,5,220409,롯데마트
푸르밀 검은콩우유,신속한배송감사합니다ㅎㅎ,4,220409,롯데마트
푸르밀 검은콩우유,배송 빠르고 저렴하게 구매했어요 넘 맛있어요,5,220408,푸르밀 공식 스토어
푸르밀 검은콩우유,빠른배송 좋은상품 좋아요,5,220406,롯데마트
푸르밀 검은콩우유,"빵빵하게 부푼거 오네요
소화력이 약해서 버려야합니다ㅠ
역시 우유는 직접 보고 맨뒤에꺼 골라야하네요",1,220405,GS 프레시몰
푸르밀 검은콩우유,검은콩우유는 지에스 프레시에서만 파나봐요 다른곳 둘러봐도 안보여요 제일 맛있는 우유!!,5,220405,GS 프레시몰
푸르밀 검은콩우유,"헉 너무 달아요
보통 두유보다도 더..",4,220405,롯데마트
푸르밀 검은콩우유,건강에 좋아요 아침 식사대용 굿,5,220405,롯데마트
푸르밀 검은콩우유,"할인중에 사서 맛있게 마셔요~ 다만 유통기한이 짧네요..
유통기한이 써있으면 구매할때 도움 될꺼같아요~",5,220405,롯데마트
푸르밀 검은콩우유,세일해서사봤습니다.,5,220404,롯데마트
푸르밀 검은콩우유,저렴하게 잘 샀습니다.좋습니다,5,220404,롯데마트
푸르밀 검은콩우유,유통기한이 넉넉하고 저렴히 잘 샀습니다,5,220402,롯데마트
푸르밀 검은콩우유,저렴하게 구입했습니다 고소해요,5,220402,롯데마트
푸르밀 검은콩우유,포장상태가너무 안좋네요..,1,220402,롯데마트
푸르밀 검은콩우유,잘받았어요 싼가격에 득템했네요,5,220401,롯데마트
푸르밀 검은콩우유,맛있어요! 역시 basic is the best,5,220401,GS 프레시몰
푸르밀 검은콩우유,가격 품질 배송 모두 만족!!,5,220401,롯데마트
푸르밀 검은콩우유,드디어 찾던게 찾앗어요,5,220331,GS 프레시몰
푸르밀 검은콩우유,상품 좋네요 잘 먹을게요,5,220330,GS 프레시몰
푸르밀 검은콩우유,잘 먹고 있습니다.,5,220330,GS 프레시몰
푸르밀 검은콩우유,"아침대용으로 맛, 영양 굿굿",5,220327,GS 프레시몰
푸르밀 검은콩우유,감사합니다~~~~~,5,220327,늘푸르다
푸르밀 검은콩우유,고소하고 맛이 좋네요,5,220325,GS 프레시몰
푸르밀 검은콩우유,검은콩우유 달콤하고 맛있어요 재구매해야겠어요,5,220323,GS 프레시몰
푸르밀 검은콩우유,유통기한넉넉하고 맛있어서 좋아요,5,220322,롯데마트
푸르밀 검은콩우유,고소하고 부드러워요,4,220319,롯데마트
푸르밀 검은콩우유,좀 달지만 맛있어요,5,220319,롯데마트
푸르밀 검은콩우유,유통기한이 짧아서 그렇지 좋아요👍👍,5,220319,롯데마트
푸르밀 검은콩우유,아주아주 만족합니다,5,220311,GS 프레시몰
푸르밀 검은콩우유,딸이 좋아하는 우유지요,4,220308,롯데마트
푸르밀 검은콩우유,달달하고 맛있는 우유예요.,5,220306,롯데마트
푸르밀 검은콩우유,맛있게 잘먹었어요 유통기한도 맘에 들었어요~,5,220304,늘푸르다
푸르밀 검은콩우유,검은콩우유 고소하고 좋아요.,5,220228,GS 프레시몰
푸르밀 검은콩우유,저렴하게 구매해서 좋았어요 넘 고소하고 맛나요,5,220227,GS 프레시몰
푸르밀 검은콩우유,늘 구입합니다 푸르밀감은콩 우유보다 이제품이 훨씬 맛있어요,5,220224,GS 프레시몰
푸르밀 검은콩우유,배송도 빠르고고소 하고ㆍ신선해요,5,220223,GS 프레시몰
푸르밀 검은콩우유,영양만점콩우유 정말맛있고 울가족이 다좋아합니다,5,220222,롯데마트
푸르밀 검은콩우유,검은콩이라 건강에 더 좋겠지요~,5,220216,롯데마트
푸르밀 검은콩우유,유통기한도 넉넉하고 괜찮네염,5,220215,푸르밀 공식 스토어
