type,review,star,date,site
오뚜기 진라면,"영덕 축산항 쪽에 스쿠버 다이빙 강사 2시면서 선주 님 부부에게 며칠 동안 잘 얻어 먹고 와서 미안해서 쇠고기도 사주고 어제 모레까지 얻어 먹고 진라면 선물로 그 자리에서 G 마켓에서 박스로 시키고 진산면 맛있다 그런데 오뚜기 육개장 애는 소고기가 10봉지 중 한 봉지 소고기 두 조각 들어 쓸까 말까 정말 기분 나쁘다 그러고 새로 만든 오뚜기 버섯 쪽에선 뼛조각 두 개 나옴 혓바닥 그때 찔리고 입천장에 죽 지켜서 두 개나 나왔는데 오뚜기 쇠고기죽 문경 편의점에서 3천 990원 이라하여 4,000원 보상해준다 간다 본사 고객 민원팀 과장 박 씨 미안하다고 죄송하다고 3번은 말하는데 약 못 살겠다 스타일 고개를 끄덕이자 않고 말로만 날건달 식으로 죄송합니다 그런다 정말 기분 나쁘다 그 고객이 민원팀 박씨는 오뚜기회사에 조카나 뭐가 되는 것 같다 어쩜 저렇게 없게 고개 뻣뻣이 들고 날건달 식으로 기부라쁘게 말을 하며 고객님 죄송합니다 하고 그러고 없는 말들을 막 한다 내 블로그에 오뚜기",5,220105,G마켓
오뚜기 진라면,"쿠팡이나 11번가에서 항상 주문해서 물품을 받아보곤 했는데, 이번에 트레이더스를 이용해보았습니다.
화면에서 몇번째 도착하는지 실시간으로 알수 있고, 더구나 같은 지역에서 같은 지역으로 물품이 오니까 냉동식품이 언 상태에서 그대로 오니까 너무 좋습니다.가격도 경쟁력이 있으니 더 할 나위 없이 아주 좋습니다.
평일에는 트레이더스에 직접 가서 물건 사는 것도 어렵지만, 주말에는 가끔씩 가서 좋은 물건들을 사건 했었습니다. 하지만 가는 시감이랑 가서 고르는 시간 등을 거려하면 이렇게 인터넷으로 주문하는게 아주 편리하다는 것을 알게 되었습니다. 가격 차이도 별로 나질 않더군요.
여러 품목들을 주문했음에도 하나도 틀린거 없이 다 맞게 잘 와서 아주 흡족합니다. 냉동식품들은 전부 비닐 봉지에 얼음 포장된거 하나씩 넣어주셔서 잘 받았습니다.
라변도 소포장 된거 보다는 이렇게 20개짜리 집에 쟁여두고 먹으면 편하고 좋더라구요. 유통기한도 반년이나 남아 있으니 맘 편히 잘 먹겠습니다..",5,220316,SSG닷컴
오뚜기 진라면,"전 매운 걸 좋아해서 자주 시켜먹어요. 이번에는 파김치 국물이 남아서 같이 끓여먹었는데 맵지는 않더라고요. 그냥 맛있게 먹었어요.급한대로 김밥을 말아서 같이 먹어서 그런지 하나도 안 매워서 서운했어요. 다음에는 올곧이 라면만 먹어보려고요. 일부러 계란도 안 넣었는데... 근데 파를 썰어서 파기름 내서 먹으면 더 맛있다고 하더라고요. 면이랑 국물을 따로 요리해서 나중에 먹을때 섞어먹으면 맛난다고 하던데, 이것도 나중에 도전해보려고요. 원래의 개학날에서 학생들 개학이 늦춰지던 날부터 거의 일주일간 라면들이 품절였는데 이젠 괜찮아졌나봐요. 진라면이 인기는 정말 많은 것 같아요.전 원래 내 인생에 라면이라고는 없는데, 진라면 한번 먹고 라면의 맛을 알아버렸어요. 오늘은 겉절이 엄마 요리에 파김치국물 라면을 먹었더니, 짰던지 엄청 물을 먹고 있어요. 밤에 라면먹을때 우유랑 먹으면 안 붓는데서 전 다 먹고 후식으로 우유먹고 있어요.이래도 안 붓겠죠? 진라면은 신라면과 안성탕면의 뒤를잇는 짱짱라면이에는. 최소한 저에게는 말이죠.",5,200328,SSG닷컴
오뚜기 진라면,"12월 8일 밤 11시 반에 주문했는데 다음 날인 9일 원하는 시간 지정해서 배송 받았어요.
직접가서 사와도 라면같은건 조금 깨져있기도 하는데 제가 사오는것보다 온전하게 왔어요.물건포장도 냉동식품 냉장식품 상온보관 따로 포장도 해주셨구요. 무거운건 종이봉투 맨 밑에 담아서 안정감있네요.
비닐.테이프.끈 사용 줄이려고 종이봉투에 오는것도 좋아요.
손잡이가 없어서 드는데 조금 불편하긴하지만 환경을 위해 훨씬 나은 선택이네요. 유통기한은 2020년 5월 27일까지 긴걸로 잘 왔구요.
두개 구매하니 .

제가 직접가서 구매한것처럼 좋은 상품으로 골라서 . 정말 감사합니다.
편리하고 편안해서 .

저는 이렇게 만들어먹어요.
진라면 끓여서 달걀하나 풀어서 먹어요. .

두번째로는 면 끓이다가 반쯤 익으면 물버리고 우유붓고 슬라이스치즈 한장 대파 자른거랑 스프반만 넣고 짜글짜글 졸여서 먹음 매운 스파게티같아요. 매운게 먹고싶을때 청양고추나 고춧가루 조금 더 넣어요.

라면은 역시 . .
자주 구매해서 먹고 있어요. 감사합니다. 잘 먹을게요.",5,191209,SSG닷컴
오뚜기 진라면,"다른라면브랜드를애용하던사람이라브랜드자체를바꿀일이없었던차에유럽여행을갔는데,그곳조그만마트에서팔고있던진라면반갑기도하고길어진여행에서한국음식이간절해지던차에진라면을접하게되었습니다.
그날진라면이내인생라면이된날이었답니다.
평생라면을먹기는했어도자주먹진않았던나이많은아줌마인데,맛도맛이지만건강한라면으로먹고싶어서한번뜨거운물에데쳐낸다거나,야채를듬뿍넣어서야채육수에서나오는그맛을더하면어느훌륭한요리못지않답니다.
단백질추가하는날에는계란도추가하고,양파,파,부추있는대로때려넣고만들어먹고있답니다.
그후에오뚜기사장님이나오는프로그램을보고,인격적으로좋으신분같아서더더응원하는오뚜기브랜드입니다.근데제인생라면인줄알았던진라면을대적하는라면이나왔는데맵찔이인제가먹어도너무맵진않은열라면을만나게된겁니다,ㅋㅋ
그이후박스로라면을사고있답니다.
열라면에청량고추쫑쫑썰어추가하면우리아들이좋아하는매운라면이완성된답니다.
세계적으로뻣어나가서더더성장하는라면브랜드되길바랍니다.
항상감사드리고배송도빠르고,한끼식사로도훌륭한라면을만나게되에감사하고있습니다.
언제나좋아하는라면은열라면,진라면이될거같아요~~~",5,220520,SSG닷컴
오뚜기 진라면,"오뚜기 매운 맛은 신라면에 좀 뒤쳐지는 느낌이지만
매운 맛을 자주 먹지 안해서
매운 맛 역시 오뚜기로,
물론 맛이 중요하겠지만서도
오뚜기 기업 이념이 좋잖아요 몇년째 가격도 안 올리고...
될수있으면 고객의 입장을 조금이라도 생각해주는 그런 기업,
가족을 보면 그 사람을 안다고
그래서 부잣집 그 딸아이도 소탈하고 꾸밈이 없게 느껴지고
아니 대기업 자녀 같지 않게 모든 이들과 거절하지 않고 꺼리낌 없이
커무니케이션을 하는 걸 보면 참 대단한 가족이란 걸 새삼 느낍니다
문제인 정부 들어서서 대기업만 초대하는 경제인들 모임에도
오뚜기는 참석 할 정도니까요
어쩌면 사회적 기업이라고 하면 좀 지나친 얘기 겠지만
오뚜기 식품을 항상 애용하는 편입니다
막말로 오뚜기 제품 가격 안 올리는 것 만해도 어딥니까

혹 자들은 그렇다고 리플을 달수도 있겠지만...",5,210128,SSG닷컴
오뚜기 진라면,"연휴 때 친구들과 홈파티했어요. 저녁도 든든하게 차려먹고 커피와 과일, 디저트까지 클리어했지만 왠지 허진한 기분이 들더라고요.ㅎㅎ
역시 한국사람은 매운맛, 국물을 먹어줘야하는건지.. 야밤에 오뚜기 진라면 매운맛을!! 꺼내들었습니다. ㅎㅎ
그냥 먹어도 맛있는데 여기에 새우도 넣어주고 파송송, 계란과 치즈까지 첨가하여 완벽한 라면을 만들었어요.
꼬들또들한 면발에 매콤한 국물이 치즈,계란과 잘 어울렸어요. 아 지금 생각해도 너무 침이 고이네요.
물론 이렇게 첨가물을 넣어도 참 맛있지만 가끔은 깔끔한 맛이 생각나서 그냥 기본으로 먹어도 너무 맛있어요~
어제도 약속이 있어 고기 먹고 이차까지 갔지만 집에와서 라면 반개 끓여먹엇땁니다. >.<
예전에 아버지가 그렇게 라면 좋아하셨었는데 이제 저도 나이가 드니 이해가 가기 시작하네요. 물론 학생들도 라면 진짜 좋아하지만.. 그리고 오뚜기는 기업이미지도 좋기도 하고 맛있기도해서 자주 구매하는 제품이예요. 다른 식품도 짱짱. 이미 매니아들 많으시겠지만 !!",5,201010,SSG닷컴
오뚜기 진라면,항상 떨어지지 않게 비치해 놓고 있는 기본 라면입？다. 둘이 살지만 차려먹기 귀찮거나 가끔 땡길 때 라면은 자주 먹는 편이라 박스로 구매해서 먹고 있는데요.얼마 전에 농심과 함께 가격을 올린다는 말이 있어서 미리 더 사놔야 하나 싶다가 의외로 라면이 유통기한이 ？은 편이라(6개월) 좀 더 기다렸다 사긴 했는데 결국 큰 차이는 없었네요.사각라면이라 동그란 양은냄비에 끓이기 좀 애매하단 걸 빼면 가장 무난하고 적당한 매운맛 라면입니다. 가격이 좀 오르긴 했지만 그래도 아직은 저렴한 편이구요. 다음번에는 내년 봄 쯤 구매하게 되겠메요.,5,221017,11번가
오뚜기 진라면,"아기 재우고 몰래 작은방와서 진라면하나 부셔먹고있어요.
라면 부셔먹는거에 기대했던걸까요.. 혹여라도 소리가 새어나갈까 이불속에서 라면을 부시는데 잘안부셔져서 제가 힘이 약해졌나 했어요.
봉지를 뜯고 스프를 넣고 흔들어주니 입에 침이 고이더군요.
손가락 두개를 이용해 스프가 고루 뿌려진 라면조각을 들고 입으로 들어갔죠.
왠걸.. 눅눅해요.
제가 상상했을땐 한입 베어물면 아그작 소리와함께 라면이 부스러 져야하는데..기대했던걸까요...
... 우울해서 작성해봅니다....
사진보시면 게 보이실거예요.",5,210630,SSG닷컴
오뚜기 진라면,"매년/ 매월/ 매주.... 라면은 신라면만 먹다가, 이번에 친구의 데일리 라면 추천으로 “진라면 매운맛” 쟁여서 주말마다 먹어보려고 구입했어요!!! 예전에는 신경도 안썼는데, 제가 즐겨 먹었던 신라면보다 싸네요잉???? 매운 정도는 열라면이나 신라면보다는 매운 맛이 덜하지만, 적당히 자극적이고 매워서 온 가족 모두가 맛있게 먹을 수 있을 것 같아요! 그리고 역시 오뚜기는 착한 기업이지 않습니까!!! 짭짤한 주전부리 땡길 때 아작아작 부셔 먹기도 좋고, 블로그에서 본 것 처럼 투움바 라면이나 대파라면도 해먹어 보려고요!!! 또 신라면보다 착한 가격이라 이번에 가족들이 질리지 않고 좋아하면 2020년 저희 가족 팬트리의 대표 라면으로 찜 하렵니다 비상식량으로 요 라면 묶음만큼이나 좋은 건 없지 않습니까!!! 아 그리고, 이번달에 이사하면서 새로운 곳에서 이마트몰 배송 오랜만에 시켜봤는데, 역시나 빠르고 친절하시네요잉???!! 그래서 기분좋은 마음으로 첫 리뷰를 작성해봅니다.",5,200211,SSG닷컴
